Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
5.COMPLETE П_НА Д/УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;118;1714;202252
"4.""NUTRITIVE"" ДОВГ.ВОЛ. МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;88;1707;150216
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;158;1707;269706
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;213;1701;362313
842 СПЕКОТНА Н_Ч 3305909000,;BRILLANCE;BRILLANCE;Краска;61;1697;103517
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;149;1694;252406
B9 БЕЖЕВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;118;1676;197768
650 ГОР_ХОВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;119;1666;198254
568 КАРАМЕЛЬНИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;119;1666;198254
ДИТЯЧИЙ ШАМПУНЬ Д/ХЛОПЧИК_В 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;135;1652;223020
4-2 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;SYOSS;Краска;61;1650;100650
5.БАЛЬЗАМ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;99;1639;162261
840 ЗАЧАРОВУЮЧИЙ РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;58;1638;95004
ГЕЛЬ Д/ДУШУ XTREME COOL 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;156;1638;255528
"ГЕЛЬ ДЛЯ ВМИВАННЯ LIFT+ ""ЗВУЖ.ПОР"" 150МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;54;1637;88398
5-25 ВИШНЕВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;53;1628;86284
1.СИН.СЕР_Я ULTRA ЛАК Б/ЗАПАХУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;108;1617;174636
5-8 ГОР_ХОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;61;1615;98515
891 СИНЬО-ЧОРНИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;58;1614;93612
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;149;1610;239890
ФРИСТАЙЛ 3D 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;132;1605;211860
100 ЧОРНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;87;1603;139461
4.POWER ГЕЛЬ Д/УКЛАДКИ З КОФЕЇНОМ 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;79;1592;125768
750 ЗОЛОТИСТИЙ ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;85;1566;133110
"3.""TOTAL-В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;133;1566;208278
6-7 ЗОЛОТИСТИЙ ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;59;1562;92158
1-1 ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;59;1562;92158
4.POWER ГЕЛЬ Д/УКЛАДКИ N-TOUCH 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;77;1552;119504
БАЛЬЗАМ 200МЛ Q10 3305909000,;SCHAUMA;Бальзам;Уход за волосами;194;1550;300700
8-7 КАРАМЕЛЬНИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;58;1535;89030
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;125;1535;191875
665 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;83;1529;126907
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;109;1518;165462
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 90Г 3401110000,;FA;FA-мыло;Мыло;493;1513;745909
3-12 КАКАО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;49;1505;73745
"4.""NUTRITIVE"" ДОВГ.ВОЛ. СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;66;1496;98736
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000";GLISS KUR;Бальзам;Уход за волосами;127;1496;189992
6.ХАЙД_ СПРЕЙ ТЕРМОЗАХИСН.Д/ГАРЯЧОЇ УКЛАДКИ 250МЛ 3305909000;TAFT;Спрей для укладки;Стайлинг;59;1495;88205
1010 ПЕРЛИННИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;81;1492;120852
1.СИН.СЕР_Я ULTRA ГЕЛЬ З ЕФЕКТ.МОКРОГО ВОЛ. 150МЛ 3305909000;TAFT;Гель для укладки;Стайлинг;74;1491;110334
ШАМПУНЬ 380МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;125;1490;186250
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;116;1484;172144
586 ЧЕРВОНЕ ДЕРЕВО 3305909000,;COLOR MASK;COLOR MASK;Краска;40;1482;59280
1-18 Г_РКИЙ ШОКОЛАД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;48;1482;71136
1-1 ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;56;1482;82992
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;105;1462;153510
657 КАШТАНОВИЙ М_ДНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;79;1455;114945
1.СИН.СЕР_Я ULTRA PURE ЛАК Б/СИЛ_КОНУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;96;1438;138048
N6 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;126;1432;180432
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;63;1428;89964
940 БЕЖЕВИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;75;1382;103650
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;116;1382;160312
5-29 _НТЕНСИВНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;SYOSS;Краска;51;1380;70380
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ БАВОВНИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;140;1374;192360
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;138;1373;189474
568 КАРАМЕЛЬНИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;120;1364;163680
7-6 РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;51;1357;69207
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;56;1357;75992
"12.МАСКА SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 250МЛ 330590900";SYOSS;Маска;Уход за волосами;45;1354;60930
650 ГОР_ХОВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;119;1353;161007
NUTRI SKIN NATURAL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;105;1351;141855
"11.ШАМПУНЬ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;65;1345;87425
6.ШАМПУНЬ ANTI-DANDRUFF CONTROL ПРОТИ ЛУПИ 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;65;1345;87425
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;81;1341;108621
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;118;1341;158238
ЛАК ДЛЯ ВОЛОССЯ SHINE&HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;57;1337;76209
"12.ШАМПУНЬ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305100";SYOSS;Шампунь;Уход за волосами;64;1324;84736
SENSUAL&OIL КВ_ТКА Т_АРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;433;1324;573292
"13.""ЕКСТРЕМ.OIL ЕЛ_КСИР"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 330590900";GLISS KUR;Экспресс-кондиционер;Уход за волосами;58;1315;76270
874 ОКСАМИТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;47;1308;61476
5-21 СВ_ТЛО-КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;PRONATURE;Краска;49;1297;63553
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;93;1295;120435
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;59;1291;76169
"14.ШАМПУНЬ GLOSSING ""ЕФЕКТ ЛАМ_НУВАННЯ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;62;1283;79546
ШАМПУНЬ 380МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;107;1275;136425
300 ЧОРНО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;69;1271;87699
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" OIL ЕЛ_КСИР 75МЛ 3305909000,";GLISS KUR;Эликсир;Уход за волосами;46;1258;57868
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;62;1253;77686
БАЛЬЗАМ 200МЛ PUSH-UP ОБ`ЄМ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;156;1246;194376
1-10 ГЛИБОКИЙ ЧОРНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;43;1243;53449
700 ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;67;1234;82678
550 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;66;1216;80256
4.POWER Р_ДИНА Д/УКЛАДКИ 150МЛ 3305909000,;TAFT;Жидкость для укладки;Стайлинг;71;1216;86336
4138 ФОРМУЛА МОЛОДОСТ_ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;22;1215;26730
9-10 ЯСКРАВИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;42;1215;51030
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;60;1212;72720
400 ТЕМНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;35;1210;42350
13.ШАМПУНЬ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;58;1200;69600
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;45;1197;53865
10.БАЛЬЗАМ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;66;1197;79002
ГЕЛЬ Д/ДУШУ XTREME POLAR 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;114;1197;136458
4-2 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;SYOSS;Краска;45;1191;53595
ДЕЗ.СТ_К XTREME COOL 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;96;1190;114240
891 СИНЬО-ЧОРНИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;43;1189;51127
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;60;1189;71340
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;110;1182;130020
ЛАК ДЛЯ ВОЛОССЯ COLOR GUARD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;50;1180;59000
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;52;1179;61308
800 РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;64;1179;75456
"4.POWER П_НА Д/УКЛАДКИ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;100;1179;117900
ЧУТТЄВА ТРОЯНДА 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;91;1171;106561
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;103;1171;120613
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;147;1170;171990
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;78;1168;91104
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;99;1166;115434
5-28 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;44;1165;51260
SENSUAL&OIL КВ_ТКА Т_АРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;377;1157;436189
1.СИН.СЕР_Я ULTRA ГЕЛЬ З ЕФЕКТ.МОКРОГО ВОЛ. 150МЛ 3305909000;TAFT;Гель для укладки;Стайлинг;70;1156;80920
"9.""ЕКСТРЕМ.ОБ`ЄМ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;59;1144;67496
ШАМПУНЬ 380МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;116;1139;132124
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;110;1126;123860
"1.""Р_ДКИЙ ШОВК"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;58;1125;65250
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;40;1113;44520
8-52 ХОЛОДНИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;42;1112;46704
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;454;1107;502578
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;77;1094;84238
NUTRI SKIN ЗВОЛОЖЕННЯ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;50;1088;54400
ШОВК _ МАГНОЛ_Я 90Г 3401110000,;FA;FA-мыло;Мыло;354;1086;384444
6-1 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;41;1085;44485
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;95;1080;102600
"ГЕЛЬ+ЛОСЬЙОН ""МАРАКУЙЯ"" 250МЛ 3401300000,";FA;FA-гель для душа;Гель для душа;98;1078;105644
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;94;1068;100392
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;40;1059;42360
NUTRI SKIN ПРУЖНА ШК_РА 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;110;1058;116380
10-0 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;39;1055;41145
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;341;1046;356686
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;75;1044;78300
ФРИСТАЙЛ 3D 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;81;1042;84402
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;39;1032;40248
4-8 КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;SYOSS;Краска;39;1032;40248
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;159;1011;160749
5-29 _НТЕНСИВНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;SYOSS;Краска;38;1006;38228
ХОРОБРИЙ П_РАТ 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;101;1005;101505
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;126;1002;126252
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;36;996;35856
"1.""Р_ДКИЙ ШОВК"" СИРОВАТКА-СПРЕЙ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;45;996;44820
Д.КАСПАР_ РОЗГЛАДЖ.Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;18;994;17892
4061 ПРОТИ ЗМОРШОК КОНТУР ОЧЕЙ 15МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;33;994;32802
ХОРОБРИЙ П_РАТ 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;81;993;80433
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;71;989;70219
ЙОГУРТ ВАН_ЛЬНИЙ МЕД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;92;989;90988
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;80;986;78880
1-1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;50;985;49250
5-32 СЛИВОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;32;983;31456
12-0 _НТЕНСИВНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;37;979;36223
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;86;977;84022
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;101;977;98677
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;70;975;68250
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;79;971;76709
813 ПЕРЛИННО-СР_БЛЯСТИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;35;968;33880
13.СПРЕЙ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 150МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;40;965;38600
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;66;964;63624
568 КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;26;963;25038
4.POWER ГЕЛЬ Д/УКЛАДКИ З КОФЕЇНОМ 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;58;958;55564
5-86 КАРАМЕЛЬНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;33;954;31482
9-1 ДУЖЕ СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;36;953;34308
10.ШАМПУНЬ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;46;952;43792
9.ШАМПУНЬ ЧОЛОВ_ЧИЙ Д/ЖИРНОГО ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;46;952;43792
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;39;945;36855
5-25 ВИШНЕВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;30;943;28290
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;80;943;75440
2.ШАМПУНЬ REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;45;936;42120
8-7 КАРАМЕЛЬНИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;35;931;32585
5-21 СВ_ТЛО-КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;PRONATURE;Краска;35;931;32585
13.БАЛЬЗАМ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;45;931;41895
3-12 КАКАО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;30;926;27780
2-10 ЧОРНО-КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;32;925;29600
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;96;918;88128
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;76;911;69236
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;41;907;37187
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;34;905;30770
ГЕЛЬ Д/ДУШУ XTREME SPORTS 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;68;896;60928
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;46;892;41032
"14.БАЛЬЗАМ GLOSSING ""ЕФЕКТ ЛАМ_НУВАННЯ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;43;890;38270
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;61;885;53985
ДЕЗ.АЕРОЗОЛЬ XTREME DRY 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;83;885;73455
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;74;882;65268
NATURAL&FRESH ЖАСМИН _ КОКОСОВА ВОДА 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;80;880;70400
4.POWER ГЕЛЬ Д/УКЛАДКИ N-TOUCH 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;53;875;46375
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;68;875;59500
