Наименование;Бренд;Линейка;Категория;Количество;Сумма
ШАМПУНЬ 380МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;125;1490
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;6;38,16
ДЕЗ.СТ_К XTREME SPORTS 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;15;233,85
ГЕЛЬ ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Гель для укладки;Стайлинг;179;4240,51
SPORT DOUBLE POWER SPORTY FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;70;716,8
SENSUAL&OIL КВ_ТКА Т_АРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;433;1324,98
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;94;1068,78
G4 КАКАО 3305909000,;PALETTE;PALETTE;Краска;645;9030
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;40;1113,2
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;11;125,07
6-0 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;324;6386,04
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;29;403,97
5.БАЛЬЗАМ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;248;4305,28
5.БАЛЬЗАМ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;-1;-18,15
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;3;41,79
4152 ФОРМУЛА МОЛОДОСТ_ Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;-6;-294,66
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;21;511,98
1-1 ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;56;1482,88
ШАМПУНЬ 380МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;645;7920,6
ШАМПУНЬ 225МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;6;38,16
ЧУДОВ_ МОМЕНТИ (ГОЛУБОЙ) 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;29;373,23
МУС ДЛЯ УКЛАДКИ FIX&SMOOTH 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;-1;-18,5
ЙОГУРТ АЛОЕ ВЕРА 90Г 3401110000,;FA;FA-мыло;Мыло;94;229,36
ДЕЗ.АЕРОЗОЛЬ XTREME SPORTS 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;3;40,23
БАЛЬЗАМ 200МЛ БЛИСК КОЛЬОРУ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;11;87,45
SPORT DOUBLE POWER SPORTY FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;248;3174,4
N6 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;126;1432,62
9.5-1 ПЛАТИНОВИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;434;8554,14
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;56;1357,44
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;21;437,01
4138 ФОРМУЛА МОЛОДОСТ_ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;-6;-294,66
3.ЗЕЛ.СЕР_Я ЛАК ЗСФ Д/ТОНКОГО ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;15;218,1
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;40;1059,2
"12.ШАМПУНЬ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305100";SYOSS;Шампунь;Уход за волосами;325;6763,25
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;71;1721,04
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;179;3247,06
ШАМПУНЬ 225МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;434;2760,24
МУС ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;21;416,22
ЛАК ДЛЯ ВОЛОССЯ STRONG HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;-1;-19,38
ДЕЗ.АЕРОЗОЛЬ XTREME COOL 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;249;3321,66
RFE3 БАКЛАЖАН 3305909000,;PALETTE;PALETTE;Краска;3;39,39
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;6;14,64
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;126;1002,96
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;95;1080,15
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;179;2636,67
7-0 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;325;6405,75
5-5 ЯСКРАВИЙ ГОР_Х 3305909000,;PALETTE; COLOR&GLOSS;Краска;-5;-72,7
5-25 ВИШНЕВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;30;943,8
4-86 ПРАЛ_НЕ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;12;377,52
4.POWER Р_ДИНА Д/УКЛАДКИ 150МЛ 3305909000,;TAFT;Жидкость для укладки;Стайлинг;71;1216,23
"4.POWER ЛАК 350МЛ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 3305300000,";TAFT;Лак;Стайлинг;647;12978,82
13.СПРЕЙ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 150МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;40;965,6
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000";GLISS KUR;Бальзам;Уход за волосами;15;217,8
1.СИН.СЕР_Я ULTRA PURE ЛАК Б/СИЛ_КОНУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;56;838,88
МУС ДЛЯ УКЛАДКИ HOLD&FLEX 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;40;832,4
МУС ДЛЯ УКЛАДКИ FIX&SMOOTH 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;-1;-19,82
МУС ДЛЯ УКЛАДКИ CURL CONTROL 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;-5;-85,15
ЛАК ДЛЯ ВОЛОССЯ SHINE&HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;57;1337,79
БАЛЬЗАМ 200МЛ Q10 3305909000,;SCHAUMA;Бальзам;Уход за волосами;95;604,2
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;648;9072
SPORT DOUBLE POWER COOL FRESH 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;325;3575
SPORT DOUBLE POWER COOL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;3;38,61
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 90Г 3401110000,;FA;FA-мыло;Мыло;6;14,64
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;438;6223,98
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;15;213,15
9-52 БЛОНД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;12;370,68
"9.""ЕКСТРЕМ.ОБ`ЄМ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;127;2028,19
6-65 ЗОЛОТИСТИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;250;4927,5
6-65 ЗОЛОТИСТИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;21;413,91
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;180;2557,8
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;71;989,03
3-12 КАКАО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;30;926,7
ШАМПУНЬ 380МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;251;3009,49
ЧУТТЄВА ТРОЯНДА 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;438;5606,4
ОХОЛОДЖЕННЯ ЕКСТРИМ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;327;4185,6
ЙОГУРТ АЛОЕ ВЕРА 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;181;1956,61
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;40;770
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;72;706,32
N5 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;15;210
N3 КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;650;9100
899 ПУРПУРОВИЙ АМЕТИСТ 3305909000,;BRILLANCE;BRILLANCE;Краска;30;834,9
6489 ЗАХИСТ _ ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;-5;-127,9
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;7;186,41
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;21;347,76
3.ЗЕЛ.СЕР_Я П_НА ЗСФ Д/ТОНКОГО ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;57;672,03
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;3;35,37
2.ШАМПУНЬ REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;-1;-19,82
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000";GLISS KUR;Бальзам;Уход за волосами;127;1496,06
1-13 СМОРОДИНОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;12;370,68
1.СИН.СЕР_Я ULTRA PURE ЛАК Б/СИЛ_КОНУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;96;1438,08
ШАМПУНЬ В_Д ЛУПИ Д/ЧАСТОГО ВИКОРИСТАННЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;21;337,26
ШАМПУНЬ 380МЛ PUSH-UP ОБ`ЄМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;653;7829,47
"ТОН_К LIFT+ ""ЗВУЖ.ПОР"" 200МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;12;336,48
"ОЧИЩУЮЧЕ МОЛОЧКО LIFT+ ""ЗВУЖ.ПОР"" 200МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;-5;-130,9
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;251;2208,8
ДЕЗ.СТ_К XTREME COOL 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;96;1190,4
KI6 М_ДНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;3;34,11
G4 КАКАО 3305909000,;PALETTE;PALETTE;Краска;15;210
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;328;4592
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;57;648,09
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;30;598,8
750 МИГДАЛЬ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;128;4403,2
4-6 СВ_ТЛО-КАШТАНОВИЙ МЕДОВИЙ 3305909000,;SYOSS;SYOSS;Краска;-1;-22,64
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;182;2069,34
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;73;2196,57
1-1 ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;7;186,41
10-1 СР_БЛЯСТИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;439;8652,69
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;40;589,2
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;57;455,43
ХОРОБРИЙ П_РАТ 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;40;488
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;328;4080,32
ЛАК ДЛЯ ВОЛОССЯ MAX HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;446;10467,62
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;653;7183
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;96;918,72
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;3;34,11
B9 БЕЖЕВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;15;210
9-1 ДУЖЕ СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;7;186,34
840 ЗАЧАРОВУЮЧИЙ РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;12;332,04
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;184;2614,64
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;252;2865,24
5-28 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;-5;-133,1
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;73;1933,04
4061 ПРОТИ ЗМОРШОК КОНТУР ОЧЕЙ 15МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;129;3867,42
4-0 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;30;591,3
"4.POWER П_НА Д/УКЛАДКИ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;21;309,54
3-3 Ф_ОЛЕТОВИЙ ТЕМНИЙ 3305909000,;SYOSS;SYOSS;Краска;-1;-22,64
ШАМПУНЬ 380МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;659;8092,52
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;57;455,43
ЧУДОВ_ МОМЕНТИ КРЕМ-ГЕЛЬ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;252;2724,12
"ТОН_К LIFT+ ""ЗВУЖ.ПОР"" 200МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;97;2705,33
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;40;483,6
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;3;34,11
"9.""ЕКСТРЕМ.ОБ`ЄМ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;73;1779,74
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;15;210
6908 МАТУВАННЯ ТА ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;7;179,06
5-32 СЛИВОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;-5;-140,05
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;129;2239,44
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;21;298,41
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;452;6662,48
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;186;2604
200 ЧОРНИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;12;309,6
"12.БАЛЬЗАМ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305909";SYOSS;Бальзам;Уход за волосами;329;6810,3
10-0 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;-1;-22,64
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;30;435,6
ШАМПУНЬ 380МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;73;875,27
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;97;771,15
БАЛЬЗАМ 200МЛ ФРУКТИ ТА В_ТАМ_НИ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;-4;-26,12
SPORT DOUBLE POWER MEN POWER BOOST 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;453;5476,77
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;131;400,86
N5 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;665;9310
H6 МЕДОВИЙ КАШТАН 3305909000,;PALETTE;PALETTE;Краска;40;454,8
880 БАКЛАЖАН 3305909000,;PALETTE; DELUXE;Краска;7;170,17
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;3;34,11
700 ТЕМНО-РУСЯВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;187;6432,8
678 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;Фитолиния;Краска;15;208,95
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;333;9010,98
3.МАСКА COLOR GUARD Д/ФАРБ.ВОЛ. 200МЛ 3305909000,;SYOSS;Маска;Уход за волосами;-1;-23,22
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;30;433,5
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;21;298,41
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;12;295,32
10.СПРЕЙ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 250МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;58;1754,5
10.БАЛЬЗАМ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;253;5014,46
ФРИСТАЙЛ 3D 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;3;33,18
ЛАК ДЛЯ ВОЛОССЯ HOLD&FLEX 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;671;15748,37
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;15;184,5
БАЛЬЗАМ 200МЛ СУПЕРФРУКТИ ТА ЖИВЛЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;-4;-30,44
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;73;702,26
NUTRI SKIN NATURAL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;187;2393,6
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 90Г 3401110000,;FA;FA-мыло;Мыло;131;400,86
KI6 М_ДНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;21;294
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;30;420
B9 БЕЖЕВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;454;6356
840 ЗАЧАРОВУЮЧИЙ РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;58;1638,5
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;334;4919,82
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;253;3542
6489 ЗАХИСТ _ ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;-1;-24,83
6-1 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;41;1085,68
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;98;2595,04
13.БАЛЬЗАМ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;7;145,67
"12.МАСКА SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 250МЛ 330590900";SYOSS;Маска;Уход за волосами;12;295,32
ЧУДОВ_ МОМЕНТИ КРЕМ-ГЕЛЬ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;674;7414
ЧУДОВ_ МОМЕНТИ КРЕМ-ГЕЛЬ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;3;32,25
МУС ДЛЯ УКЛАДКИ VOLUME LIFT 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;98;2039,38
БАЛЬЗАМ 200МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;73;583,27
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;454;1107,76
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;15;170,55
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;334;3610,54
891 СИНЬО-ЧОРНИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;58;1614,14
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;41;907,74
750 ЗОЛОТИСТИЙ ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;254;9362,44
7.KERATIN (4) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;30;353,7
650 ГОР_ХОВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;188;2671,48
"6.""ШИ КАШЕМ_Р"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;7;101,64
5-8 ГОР_ХОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;-1;-26,63
5-1 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;132;3571,92
"5.""ЕНЕРГ_Я РОСТУ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;-4;-55,28
400 СЕРЕДНЬО-РУСИЙ 3305909000,;PALETTE; DELUXE;Краска;12;293,28
"2.ЧЕРВ.СЕР_Я ЛАК ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;21;251,58
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;188;2240,96
ФРИСТАЙЛ 3D 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;132;1605,12
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;30;324,3
N9 СВ_ТЛИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;459;6426
H8 МЕДОВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;335;4760,35
8-7 КАРАМЕЛЬНИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;58;1535,84
8-15 ШАМПАНЬ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;16;494,24
586 ЧЕРВОНЕ ДЕРЕВО 3305909000,;COLOR MASK;COLOR MASK;Краска;98;1806,14
5-68 ЦУКРОВА МАЛИНА 3305909000,;PALETTE; COLOR&GLOSS;Краска;-4;-58,16
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;41;848,7
4-8 КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;SYOSS;Краска;-1;-26,63
